Designator,Mid X,Mid Y,Rotation,Layer
J1,89.36,-76.505,0.0,top
J2,105.41,-76.2,180.0,bottom
J3,98.425,-113.665,90.0,bottom
P1,106.68,-113.665,90.0,top
R1,91.44,-112.395,0.0,top
R2,91.44,-109.855,180.0,top
